genergy,gpuls,gdpuls,nbumps,nbumps2,nbumps3,nbumps4,nbumps5,energy,class,seismic_a,seismic_b,seismoacoustic_a,seismoacoustic_b,seismoacoustic_c,shift_N,shift_W,ghazard_a,ghazard_b,ghazard_c
15180.0,48.0,-72.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1,0,0
14720.0,33.0,-79.0,1.0,0.0,1.0,0.0,0.0,2000.0,0,1,0,1,0,0,1,0,1,0,0
8050.0,30.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1,0,0
28820.0,171.0,40.0,1.0,0.0,1.0,0.0,0.0,3000.0,0,1,0,1,0,0,1,0,1,0,0
12640.0,57.0,-52.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1,0,0
63760.0,195.0,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,1,0,0
207930.0,614.0,18.0,2.0,2.0,0.0,0.0,0.0,1000.0,0,1,0,1,0,0,0,1,1,0,0
48990.0,194.0,-3.0,1.0,0.0,1.0,0.0,0.0,4000.0,0,1,0,1,0,0,1,0,1,0,0
100190.0,303.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1,0,0
247620.0,675.0,25.0,1.0,1.0,0.0,0.0,0.0,500.0,0,1,0,1,0,0,0,1,1,0,0
41950.0,135.0,-36.0,1.0,0.0,1.0,0.0,0.0,5000.0,0,1,0,1,0,0,1,0,1,0,0
53250.0,140.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1,0,0
166180.0,448.0,-19.0,1.0,1.0,0.0,0.0,0.0,400.0,0,1,0,1,0,0,0,1,1,0,0
64540.0,215.0,9.0,1.0,0.0,1.0,0.0,0.0,6000.0,0,1,0,1,0,0,1,0,1,0,0
75670.0,207.0,4.0,1.0,1.0,0.0,0.0,0.0,600.0,0,1,0,1,0,0,1,0,1,0,0
225040.0,575.0,5.0,2.0,0.0,2.0,0.0,0.0,7000.0,0,1,0,0,1,0,0,1,1,0,0
31290.0,117.0,-41.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,0,1,0,0
22890.0,81.0,-58.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,0,1,0,0
13170.0,59.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,0,1,0,0
8900.0,38.0,-77.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,0,1,0,0
13250.0,32.0,-79.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1,0,0
11710.0,70.0,-47.0,1.0,0.0,1.0,0.0,0.0,4000.0,0,1,0,1,0,0,1,0,1,0,0
10640.0,62.0,-43.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1,0,0
45630.0,155.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1,0,0
424650.0,1069.0,7.0,2.0,0.0,2.0,0.0,0.0,6000.0,0,1,0,1,0,0,0,1,1,0,0
38820.0,213.0,-57.0,1.0,0.0,1.0,0.0,0.0,4000.0,0,1,0,1,0,0,1,0,1,0,0
56960.0,200.0,-58.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1,0,0
212260.0,729.0,-28.0,2.0,1.0,1.0,0.0,0.0,1400.0,0,1,0,1,0,0,0,1,1,0,0
42950.0,172.0,-61.0,1.0,0.0,1.0,0.0,0.0,6000.0,0,1,0,1,0,0,1,0,1,0,0
172290.0,437.0,-55.0,1.0,1.0,0.0,0.0,0.0,600.0,0,1,0,1,0,0,0,1,1,0,0
395110.0,1043.0,40.0,3.0,0.0,3.0,0.0,0.0,6000.0,0,1,0,1,0,0,0,1,1,0,0
51320.0,239.0,23.0,1.0,0.0,1.0,0.0,0.0,6000.0,0,1,0,1,0,0,1,0,1,0,0
144880.0,361.0,-52.0,1.0,0.0,1.0,0.0,0.0,2000.0,0,1,0,1,0,0,0,1,1,0,0
477750.0,1132.0,60.0,3.0,3.0,0.0,0.0,0.0,1500.0,0,1,0,1,0,0,0,1,1,0,0
71840.0,255.0,28.0,1.0,0.0,1.0,0.0,0.0,6000.0,0,1,0,1,0,0,1,0,1,0,0
127360.0,351.0,-53.0,1.0,1.0,0.0,0.0,0.0,700.0,1,1,0,1,0,0,0,1,1,0,0
514800.0,1369.0,94.0,7.0,4.0,2.0,1.0,0.0,15700.0,0,1,0,1,0,0,0,1,1,0,0
69440.0,266.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1,0,0
28460.0,117.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1,0,0
