mean_fit_time,mean_score_time,mean_test_score,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,std_fit_time,std_score_time,std_test_score
0.0438379049301,0.0457966327667,0.5,logistic,10.0,"(25,)","{'MLP__hidden_layer_sizes': (25,), 'MLP__activation': 'logistic', 'MLP__alpha': 10.0}",90,0.5,0.5,0.5,0.5,0.0475483731365,0.0334567338993,1.24044295321e-16
0.25967168808,0.032242000103,0.499703791469,logistic,10.0,"(50,)","{'MLP__hidden_layer_sizes': (50,), 'MLP__activation': 'logistic', 'MLP__alpha': 10.0}",278,0.5,0.5,0.498815165877,0.5,0.0452736838598,0.0133029609845,0.000513048224991
0.196436941624,0.0118042826653,0.499111374408,logistic,10.0,"(100,)","{'MLP__hidden_layer_sizes': (100,), 'MLP__activation': 'logistic', 'MLP__alpha': 10.0}",300,0.5,0.5,0.49644549763,0.5,0.0268545945596,0.0036471443942,0.00153914467497
0.186616957188,0.019867002964,0.5,logistic,10.0,"(25, 25)","{'MLP__hidden_layer_sizes': (25, 25), 'MLP__activation': 'logistic', 'MLP__alpha': 10.0}",90,0.5,0.5,0.5,0.5,0.0562436373283,0.0135872429459,1.24044295321e-16
0.25895601511,0.0108684301376,0.5,logistic,10.0,"(50, 50)","{'MLP__hidden_layer_sizes': (50, 50), 'MLP__activation': 'logistic', 'MLP__alpha': 10.0}",90,0.5,0.5,0.5,0.5,0.0124147887688,0.00168278708198,1.24044295321e-16
0.327201902866,0.0168220996857,0.5,logistic,10.0,"(100, 100)","{'MLP__hidden_layer_sizes': (100, 100), 'MLP__activation': 'logistic', 'MLP__alpha': 10.0}",90,0.5,0.5,0.5,0.5,0.0638663536685,0.00622741030231,1.24044295321e-16
0.181399226189,0.0263717770576,0.5,logistic,10.0,"(25, 25, 25)","{'MLP__hidden_layer_sizes': (25, 25, 25), 'MLP__activation': 'logistic', 'MLP__alpha': 10.0}",90,0.5,0.5,0.5,0.5,0.0301597092757,0.00869489776089,1.24044295321e-16
0.401672959328,0.0150817632675,0.5,logistic,10.0,"(50, 50, 50)","{'MLP__hidden_layer_sizes': (50, 50, 50), 'MLP__activation': 'logistic', 'MLP__alpha': 10.0}",90,0.5,0.5,0.5,0.5,0.0470805222237,0.00404050968382,1.24044295321e-16
0.679559767246,0.0244567990303,0.5,logistic,10.0,"(100, 100, 100)","{'MLP__hidden_layer_sizes': (100, 100, 100), 'MLP__activation': 'logistic', 'MLP__alpha': 10.0}",90,0.5,0.5,0.5,0.5,0.213204422808,0.0102135615152,1.24044295321e-16
0.155544996262,0.0345894694328,0.498815165877,logistic,3.1622776601683795,"(25,)","{'MLP__hidden_layer_sizes': (25,), 'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795}",308,0.5,0.5,0.495260663507,0.5,0.0744954473745,0.0254459521628,0.00205219289996
0.186101257801,0.00939571857452,0.50134345009,logistic,3.1622776601683795,"(50,)","{'MLP__hidden_layer_sizes': (50,), 'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795}",85,0.496453900709,0.5,0.5,0.508947540448,0.0804042598324,0.00461443622502,0.00461694074935
0.209690272808,0.00717824697495,0.5,logistic,3.1622776601683795,"(100,)","{'MLP__hidden_layer_sizes': (100,), 'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795}",90,0.5,0.5,0.5,0.5,0.0801803127327,0.000708959611741,1.24044295321e-16
0.119873940945,0.0142725110054,0.5,logistic,3.1622776601683795,"(25, 25)","{'MLP__hidden_layer_sizes': (25, 25), 'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795}",90,0.5,0.5,0.5,0.5,0.0213589185203,0.00567926351047,1.24044295321e-16
0.328308045864,0.0243089795113,0.5,logistic,3.1622776601683795,"(50, 50)","{'MLP__hidden_layer_sizes': (50, 50), 'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795}",90,0.5,0.5,0.5,0.5,0.06213864412,0.0104970691159,1.24044295321e-16
0.459075808525,0.0214329361916,0.5,logistic,3.1622776601683795,"(100, 100)","{'MLP__hidden_layer_sizes': (100, 100), 'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795}",90,0.5,0.5,0.5,0.5,0.0784437019978,0.0069128630143,1.24044295321e-16
0.115315973759,0.0944375395775,0.5,logistic,3.1622776601683795,"(25, 25, 25)","{'MLP__hidden_layer_sizes': (25, 25, 25), 'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795}",90,0.5,0.5,0.5,0.5,0.0516943661647,0.0406232817391,1.24044295321e-16
0.301531732082,0.0101925730705,0.5,logistic,3.1622776601683795,"(50, 50, 50)","{'MLP__hidden_layer_sizes': (50, 50, 50), 'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795}",90,0.5,0.5,0.5,0.5,0.113158854234,0.0068363620418,1.24044295321e-16
0.598987698555,0.0180062651634,0.5,logistic,3.1622776601683795,"(100, 100, 100)","{'MLP__hidden_layer_sizes': (100, 100, 100), 'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795}",90,0.5,0.5,0.5,0.5,0.0616291603839,0.0113837403199,1.24044295321e-16
0.210433423519,0.0239535570145,0.526503889823,logistic,1.0,"(25,)","{'MLP__hidden_layer_sizes': (25,), 'MLP__activation': 'logistic', 'MLP__alpha': 1.0}",5,0.547635933806,0.5,0.529778830964,0.528558588005,0.0977507568722,0.0116282652584,0.0170656461523
0.261032760143,0.00922250747681,0.506861508968,logistic,1.0,"(50,)","{'MLP__hidden_layer_sizes': (50,), 'MLP__activation': 'logistic', 'MLP__alpha': 1.0}",42,0.516666666667,0.510742496051,0.5,0.5,0.0288083474479,0.0041952189545,0.00716715303462
0.231404483318,0.00944405794144,0.507885587218,logistic,1.0,"(100,)","{'MLP__hidden_layer_sizes': (100,), 'MLP__activation': 'logistic', 'MLP__alpha': 1.0}",33,0.516666666667,0.5,0.5,0.514871711064,0.0643040300577,0.00302580728741,0.00791108191088
0.142590820789,0.0398482084274,0.5,logistic,1.0,"(25, 25)","{'MLP__hidden_layer_sizes': (25, 25), 'MLP__activation': 'logistic', 'MLP__alpha': 1.0}",90,0.5,0.5,0.5,0.5,0.048498590749,0.00830039029845,1.24044295321e-16
0.366409003735,0.0113442540169,0.5,logistic,1.0,"(50, 50)","{'MLP__hidden_layer_sizes': (50, 50), 'MLP__activation': 'logistic', 'MLP__alpha': 1.0}",90,0.5,0.5,0.5,0.5,0.140464240714,0.00245934141921,1.24044295321e-16
0.500774562359,0.0686942338943,0.5,logistic,1.0,"(100, 100)","{'MLP__hidden_layer_sizes': (100, 100), 'MLP__activation': 'logistic', 'MLP__alpha': 1.0}",90,0.5,0.5,0.5,0.5,0.102828767671,0.0784558634634,1.24044295321e-16
