Training Data Percentage,Train Time,Test Time
0.01,0.436083078384,0.0870730876923
0.03,0.447661876678,0.0859460830688
0.05,0.460343837738,0.0841770172119
0.07,0.466821908951,0.0822970867157
0.09,0.491714000702,0.084704875946
0.11,0.489372968674,0.0798799991608
0.13,0.495946884155,0.0783920288086
0.15,0.540576934814,0.0775470733643
0.17,0.518482208252,0.076281785965
0.19,0.538333892822,0.0756750106812
0.21,0.544981002808,0.0736420154572
0.23,0.544703006744,0.0722889900208
0.25,0.547380924225,0.0710439682007
0.27,0.58686208725,0.0733819007874
0.29,0.586338043213,0.068333864212
0.31,0.581707954407,0.0695161819458
0.33,0.579580068588,0.0653810501099
0.35,0.587496995926,0.0643019676208
0.37,0.608331918716,0.0625281333923
0.39,0.601016998291,0.0610449314117
0.41,0.619816064835,0.0592379570007
0.43,0.620273113251,0.0580129623413
0.45,0.667608976364,0.0566868782043
0.47,0.654171943665,0.0556809902191
0.49,0.640702962875,0.0536999702454
0.51,0.651479005814,0.0526399612427
0.53,0.67845082283,0.0518281459808
0.55,0.664748191833,0.0499148368835
0.57,0.672460079193,0.0483040809631
0.59,0.681260108948,0.0470728874207
0.61,0.692538022995,0.045373916626
0.63,0.708549976349,0.0469319820404
0.65,0.714074850082,0.0432209968567
0.67,0.726474046707,0.0418298244476
0.69,0.742878913879,0.04252409935
0.71,0.764085054398,0.038614988327
0.73,0.788436174393,0.0370359420776
0.75,0.747930049896,0.0355999469757
0.77,0.762980937958,0.0365900993347
0.79,0.799714803696,0.0326189994812
0.81,0.774199962616,0.0312759876251
0.83,0.791393041611,0.0299389362335
0.85,0.795785903931,0.0304229259491
0.87,0.806936979294,0.0267698764801
0.89,0.811341047287,0.0257828235626
0.91,0.81934094429,0.0238881111145
0.93,0.849433898926,0.0240089893341
0.95,0.841809988022,0.0208868980408
0.97,0.848988056183,0.0189049243927
0.99,0.882889032364,0.018611907959
