Training Data Percentage,Train Time,Test Time
0.01,0.450397014618,0.101190090179
0.03,0.463230133057,0.100200891495
0.05,0.475665092468,0.0972077846527
0.07,0.486702203751,0.0957570075989
0.09,0.499560832977,0.0934331417084
0.11,0.512304782867,0.0914850234985
0.13,0.524307012558,0.0894329547882
0.15,0.580949068069,0.0881381034851
0.17,0.545751094818,0.0863218307495
0.19,0.56110906601,0.0844378471375
0.21,0.575163125992,0.0830290317535
0.23,0.581928014755,0.0817201137543
0.25,0.588721990585,0.080461025238
0.27,0.597670078278,0.0790340900421
0.29,0.613651990891,0.076817035675
0.31,0.62614107132,0.0748949050903
0.33,0.63404917717,0.0738568305969
0.35,0.644574165344,0.0719108581543
0.37,0.656610965729,0.0716180801392
0.39,0.671334981918,0.068498134613
0.41,0.679882049561,0.0669598579407
0.43,0.702825069427,0.065299987793
0.45,0.737421989441,0.0641639232635
0.47,0.705968141556,0.0617349147797
0.49,0.717610836029,0.0604901313782
0.51,0.731177091599,0.0588328838348
0.53,0.733140945435,0.0569479465485
0.55,0.749010801315,0.0556139945984
0.57,0.762047052383,0.0537540912628
0.59,0.775412082672,0.0517530441284
0.61,0.787326097488,0.0503540039062
0.63,0.785868883133,0.0485260486603
0.65,0.846333026886,0.0727298259735
0.67,0.88143491745,0.045245885849
0.69,0.813570022583,0.0438289642334
0.71,0.832947969437,0.0421388149261
0.73,0.878046989441,0.0431849956512
0.75,0.844269990921,0.0414960384369
0.77,0.858280897141,0.0368521213531
0.79,0.868269920349,0.0352001190186
0.81,0.884371042252,0.0338261127472
0.83,0.898568868637,0.0323581695557
0.85,0.896577835083,0.0297770500183
0.87,0.918589830399,0.0286180973053
0.89,0.919148921967,0.0265228748322
0.91,0.931557178497,0.0251460075378
0.93,0.955834150314,0.0228698253632
0.95,0.959471940994,0.0211420059204
0.97,0.967151165009,0.0192430019379
0.99,0.972807884216,0.0188050270081
