Training Data Percentage,Train Time,Test Time
0.01,0.000740051269531,0.002690076828
0.04,0.000608921051025,0.00703001022339
0.07,0.00063681602478,0.00779008865356
0.1,0.000729084014893,0.0148949623108
0.13,0.000763893127441,0.0177080631256
0.16,0.000864028930664,0.021192073822
0.19,0.00106501579285,0.022500038147
0.22,0.00117802619934,0.0253069400787
0.25,0.00118899345398,0.0274388790131
0.28,0.00134491920471,0.0300860404968
0.31,0.00143599510193,0.0311539173126
0.34,0.00160503387451,0.0301179885864
0.37,0.00178790092468,0.0316801071167
0.4,0.00206208229065,0.029757976532
0.43,0.00168299674988,0.0142328739166
0.46,0.0016930103302,0.0138449668884
0.49,0.00181603431702,0.0141990184784
0.52,0.00194406509399,0.0147988796234
0.55,0.00189781188965,0.0121321678162
0.58,0.00201296806335,0.0108740329742
0.61,0.00217890739441,0.0104649066925
0.64,0.00225210189819,0.0097758769989
0.67,0.00239109992981,0.00997090339661
0.7,0.00260400772095,0.0106599330902
0.73,0.00268697738647,0.00935006141663
0.76,0.00354409217834,0.0101897716522
0.79,0.00356912612915,0.00882387161255
0.82,0.00337886810303,0.00645804405212
0.85,0.00346493721008,0.00539898872375
0.88,0.00359702110291,0.00481295585632
0.91,0.00379109382629,0.00378799438477
0.94,0.0041139125824,0.00277805328369
0.97,0.00417613983154,0.00165891647339
