Training Data Percentage,Train Time,Test Time
0.01,0.000785112380981,0.00119590759277
0.03,0.00167989730835,0.00186705589294
0.05,0.00466823577881,0.00227284431458
0.07,0.00672316551208,0.00362181663513
0.09,0.0103361606598,0.00443387031555
0.11,0.0137851238251,0.00417709350586
0.13,0.0154778957367,0.00493812561035
0.15,0.0198230743408,0.00565385818481
0.17,0.0236461162567,0.00688195228577
0.19,0.0260181427002,0.00786805152893
0.21,0.029415845871,0.00889706611633
0.23,0.0358970165253,0.0106239318848
0.25,0.0406079292297,0.0127029418945
0.27,0.0423529148102,0.0141081809998
0.29,0.0440859794617,0.0139620304108
0.31,0.04789686203,0.0153601169586
0.33,0.0516710281372,0.0161638259888
0.35,0.0552840232849,0.0165259838104
0.37,0.0579240322113,0.0155467987061
0.39,0.0581958293915,0.0162320137024
0.41,0.0638411045074,0.0171089172363
0.43,0.0660409927368,0.0176260471344
0.45,0.069797039032,0.0178060531616
0.47,0.0813159942627,0.0179240703583
0.49,0.0815200805664,0.0172488689423
0.51,0.0845611095428,0.0173010826111
0.53,0.0880160331726,0.017187833786
0.55,0.0873801708221,0.0170907974243
0.57,0.0912539958954,0.0165848731995
0.59,0.0960290431976,0.0162959098816
0.61,0.0989730358124,0.016364812851
0.63,0.102463960648,0.0156581401825
0.65,0.106442928314,0.0156750679016
0.67,0.112178087234,0.0154738426208
0.69,0.114334821701,0.0143229961395
0.71,0.118978977203,0.0140419006348
0.73,0.124722957611,0.0134670734406
0.75,0.127058982849,0.0125911235809
0.77,0.138825178146,0.0120089054108
0.79,0.137799978256,0.0111570358276
0.81,0.141465902328,0.0104088783264
0.83,0.147336959839,0.00953602790833
0.85,0.153512954712,0.00856709480286
0.87,0.160510063171,0.00766491889954
0.89,0.165840148926,0.00682687759399
0.91,0.170408010483,0.00570917129517
0.93,0.169937849045,0.00438904762268
0.95,0.180276155472,0.00341701507568
0.97,0.184085130692,0.00205993652344
0.99,0.188194036484,0.000804901123047
