Training Data Percentage,Train Time,Test Time
0.01,0.000836849212646,0.00164413452148
0.03,0.000785827636719,0.00184917449951
0.05,0.00103497505188,0.0023398399353
0.07,0.00115394592285,0.00243711471558
0.09,0.00139594078064,0.00253510475159
0.11,0.00166893005371,0.00251913070679
0.13,0.00238108634949,0.00249099731445
0.15,0.00221514701843,0.0026159286499
0.17,0.00252389907837,0.00263714790344
0.19,0.00295686721802,0.00248694419861
0.21,0.00289797782898,0.00239491462708
0.23,0.00291204452515,0.00232291221619
0.25,0.00299000740051,0.00219702720642
0.27,0.00333213806152,0.00223588943481
0.29,0.00371694564819,0.00227212905884
0.31,0.00373506546021,0.00227284431458
0.33,0.00422501564026,0.00229001045227
0.35,0.00484418869019,0.00233197212219
0.37,0.00565600395203,0.00222778320312
0.39,0.00562477111816,0.00223112106323
0.41,0.00555205345154,0.00237202644348
0.43,0.0069727897644,0.00237011909485
0.45,0.00824809074402,0.00235390663147
0.47,0.00876498222351,0.00228309631348
0.49,0.0083019733429,0.00230097770691
0.51,0.00691509246826,0.00207281112671
0.53,0.0073549747467,0.00212502479553
0.55,0.00945711135864,0.00213885307312
0.57,0.00897693634033,0.00200510025024
0.59,0.00955104827881,0.00204992294312
0.61,0.0115668773651,0.00195717811584
0.63,0.0106918811798,0.00197005271912
0.65,0.0121870040894,0.00180101394653
0.67,0.0143208503723,0.00178503990173
0.69,0.0141351222992,0.00168204307556
0.71,0.0142769813538,0.00157308578491
0.73,0.0153670310974,0.00149583816528
0.75,0.0125570297241,0.00140595436096
0.77,0.0151841640472,0.00132989883423
0.79,0.0149939060211,0.00122618675232
0.81,0.0168979167938,0.00113296508789
0.83,0.0191149711609,0.00113606452942
0.85,0.0192980766296,0.00100207328796
0.87,0.0197949409485,0.000876903533936
0.89,0.0202939510345,0.000789880752563
0.91,0.0211701393127,0.000659942626953
0.93,0.0215711593628,0.000545024871826
0.95,0.0225429534912,0.000483989715576
0.97,0.0225460529327,0.00031590461731
0.99,0.0233700275421,0.00019097328186
